Benchmark,CacheLines,Associativity,BlockSize,adaptive_HitRate,adaptive_MissRate,mru_HitRate,mru_MissRate,lru_HitRate,lru_MissRate,fifo_HitRate,fifo_MissRate,random_HitRate,random_MissRate,lfu_HitRate,lfu_MissRate
out1,16,2,8,.899901,.100098,.855368,.144631,.899901,.100098,.855368,.144631,.877832,.122167,.899871,.100128
out1,16,2,16,.899992,.100007,.877698,.122301,.899992,.100007,.877698,.122301,.888794,.111205,.899982,.100017
out1,16,2,32,.900039,.099960,.888870,.111129,.900039,.099960,.888870,.111129,.894497,.105502,.900038,.099961
out1,16,4,8,.899950,.100049,.855368,.144631,.899952,.100047,.855368,.144631,.888847,.111152,.899954,.100045
out1,16,4,16,.900020,.099979,.877698,.122301,.900022,.099977,.877698,.122301,.894632,.105367,.900022,.099977
out1,16,4,32,.900050,.099949,.888870,.111129,.900051,.099948,.888870,.111129,.897334,.102665,.900049,.099950
out1,16,8,8,.899969,.100030,.855368,.144631,.899973,.100026,.855368,.144631,.894350,.105649,.899970,.100029
out1,16,8,16,.900024,.099975,.877698,.122301,.900026,.099973,.877698,.122301,.897206,.102793,.900024,.099975
out1,16,8,32,.900050,.099949,.888870,.111129,.900051,.099948,.888870,.111129,.898691,.101308,.900049,.099950
out1,32,2,8,.899946,.100053,.877630,.122369,.899946,.100053,.877630,.122369,.888749,.111250,.899939,.100060
out1,32,2,16,.900016,.099983,.888844,.111155,.900016,.099983,.888844,.111155,.894399,.105600,.900016,.099983
out1,32,2,32,.900051,.099948,.894479,.105520,.900051,.099948,.894479,.105520,.897309,.102690,.900049,.099950
out1,32,4,8,.899966,.100033,.877630,.122369,.899970,.100029,.877630,.122369,.894413,.105586,.899971,.100028
out1,32,4,16,.900026,.099973,.888844,.111155,.900026,.099973,.888844,.111155,.897254,.102745,.900026,.099973
out1,32,4,32,.900051,.099948,.894479,.105520,.900051,.099948,.894479,.105520,.898599,.101400,.900049,.099950
out1,32,8,8,.899971,.100028,.877630,.122369,.899974,.100025,.877630,.122369,.897198,.102801,.899974,.100025
out1,32,8,16,.900026,.099973,.888844,.111155,.900026,.099973,.888844,.111155,.898713,.101286,.900026,.099973
out1,32,8,32,.900051,.099948,.894479,.105520,.900051,.099948,.894479,.105520,.899328,.100671,.900049,.099950
out1,128,2,8,.899973,.100026,.894417,.105582,.899974,.100025,.894417,.105582,.897240,.102759,.899974,.100025
out1,128,2,16,.900026,.099973,.897240,.102759,.900026,.099973,.897240,.102759,.898642,.101357,.900026,.099973
out1,128,2,32,.900051,.099948,.898664,.101335,.900051,.099948,.898664,.101335,.899371,.100628,.900051,.099948
out1,128,4,8,.899973,.100026,.894417,.105582,.899974,.100025,.894417,.105582,.898607,.101392,.899974,.100025
out1,128,4,16,.900026,.099973,.897240,.102759,.900026,.099973,.897240,.102759,.899367,.100632,.900026,.099973
out1,128,4,32,.900051,.099948,.898664,.101335,.900051,.099948,.898664,.101335,.899679,.100320,.900051,.099948
out1,128,8,8,.899974,.100025,.894417,.105582,.899974,.100025,.894417,.105582,.899298,.100701,.899974,.100025
out1,128,8,16,.900026,.099973,.897240,.102759,.900026,.099973,.897240,.102759,.899667,.100332,.900026,.099973
out1,128,8,32,.900051,.099948,.898664,.101335,.900051,.099948,.898664,.101335,.899879,.100120,.900051,.099948
out2,16,2,8,.911301,.088698,.904918,.095081,.912035,.087964,.904918,.095081,.911239,.088760,.913589,.086410
out2,16,2,16,.920025,.079974,.911263,.088736,.920803,.079196,.911263,.088736,.920034,.079965,.921841,.078158
out2,16,2,32,.922808,.077191,.918197,.081802,.922811,.077188,.918197,.081802,.922708,.077291,.925010,.074989
out2,16,4,8,.917027,.082972,.904918,.095081,.917215,.082784,.904918,.095081,.916959,.083040,.919061,.080938
out2,16,4,16,.920936,.079063,.911263,.088736,.921207,.078792,.911263,.088736,.921021,.078978,.924692,.075307
